fork,execve,read,write,open,close,socket,connect,accept,send,recv,type
0,10,665,80,477,268,0,0,0,0,0,perlbench_s
0,6,664,361,305,164,0,0,0,0,0,perlbench_s
0,8,568,284,406,234,0,0,0,0,0,perlbench_s
0,13,462,42,631,352,0,0,0,0,0,perlbench_s
0,13,439,39,623,333,0,0,0,0,0,perlbench_s
0,21,254,72,819,334,0,0,0,0,0,perlbench_s
0,16,358,117,680,329,0,0,0,0,0,perlbench_s
0,5,627,402,291,175,0,0,0,0,0,perlbench_s
0,4,661,445,239,151,0,0,0,0,0,perlbench_s
0,3,520,377,332,268,0,0,0,0,0,perlbench_s
0,0,497,499,252,252,0,0,0,0,0,perlbench_s
0,8,418,340,437,297,0,0,0,0,0,perlbench_s
0,5,465,332,414,284,0,0,0,0,0,perlbench_s
0,0,435,539,263,263,0,0,0,0,0,perlbench_s
0,12,443,127,590,328,0,0,0,0,0,perlbench_s
0,15,458,46,655,326,0,0,0,0,0,perlbench_s
0,16,447,56,652,329,0,0,0,0,0,perlbench_s
0,13,447,65,647,328,0,0,0,0,0,perlbench_s
0,12,485,76,596,331,0,0,0,0,0,perlbench_s
0,11,534,330,422,203,0,0,0,0,0,perlbench_s
0,14,474,44,651,317,0,0,0,0,0,perlbench_s
0,11,456,93,592,348,0,0,0,0,0,perlbench_s
0,0,425,9,533,533,0,0,0,0,0,perlbench_s
0,0,487,20,496,497,0,0,0,0,0,perlbench_s
0,11,441,40,625,383,0,0,0,0,0,perlbench_s
0,7,557,444,323,169,0,0,0,0,0,perlbench_s
0,15,473,56,632,324,0,0,0,0,0,perlbench_s
0,14,402,204,598,282,0,0,0,0,0,perlbench_s
0,9,425,130,572,364,0,0,0,0,0,perlbench_s
0,4,724,447,210,115,0,0,0,0,0,perlbench_s
0,2,621,736,92,49,0,0,0,0,0,perlbench_s
0,1,716,673,66,44,0,0,0,0,0,perlbench_s
0,0,610,890,0,0,0,0,0,0,0,perlbench_s
0,0,658,842,0,0,0,0,0,0,0,perlbench_s
0,9,549,402,369,171,0,0,0,0,0,perlbench_s
0,0,711,755,17,17,0,0,0,0,0,perlbench_s
0,0,700,800,0,0,0,0,0,0,0,perlbench_s
0,4,626,586,186,98,0,0,0,0,0,perlbench_s
0,0,735,765,0,0,0,0,0,0,0,perlbench_s
0,0,714,772,7,7,0,0,0,0,0,perlbench_s
0,1,738,671,56,34,0,0,0,0,0,perlbench_s
0,0,734,766,0,0,0,0,0,0,0,perlbench_s
